Year,Anomaly
1908-08,-0.42
1908-09,-0.36
1908-10,-0.44
1908-11,-0.54
1908-12,-0.44
1909-01,-0.5
1909-02,-0.38
1909-03,-0.52
1909-04,-0.59
1909-05,-0.48
1909-06,-0.46
1909-07,-0.4
1909-08,-0.33
1909-09,-0.36
1909-10,-0.39
1909-11,-0.38
1909-12,-0.42
1910-01,-0.3
1910-02,-0.35
1910-03,-0.52
1910-04,-0.37
1910-05,-0.31
1910-06,-0.32
1910-07,-0.3
1910-08,-0.36
1910-09,-0.38
1910-10,-0.44
1910-11,-0.51
1910-12,-0.61
1911-01,-0.55
1911-02,-0.55
1911-03,-0.59
1911-04,-0.51
1911-05,-0.46
1911-06,-0.45
1911-07,-0.41
1911-08,-0.44
1911-09,-0.39
1911-10,-0.32
1911-11,-0.17
1911-12,-0.13
1912-01,-0.24
1912-02,-0.18
1912-03,-0.32
1912-04,-0.2
1912-05,-0.18
1912-06,-0.18
1912-07,-0.38
1912-08,-0.43
1912-09,-0.52
1912-10,-0.54
1912-11,-0.38
1912-12,-0.45
1913-01,-0.34
1913-02,-0.41
1913-03,-0.39
1913-04,-0.35
1913-05,-0.4
1913-06,-0.4
1913-07,-0.33
1913-08,-0.31
1913-09,-0.34
1913-10,-0.33
1913-11,-0.25
1913-12,-0.07
1914-01,0.05
1914-02,-0.06
1914-03,-0.18
1914-04,-0.29
1914-05,-0.2
1914-06,-0.22
1914-07,-0.24
1914-08,-0.18
1914-09,-0.18
1914-10,-0.11
1914-11,-0.12
1914-12,0
1915-01,-0.17
1915-02,-0.01
1915-03,-0.05
1915-04,0.08
1915-05,0
1915-06,-0.11
1915-07,-0.06
1915-08,-0.11
1915-09,-0.19
1915-10,-0.21
1915-11,-0.13
1915-12,-0.24
1916-01,-0.2
1916-02,-0.16
1916-03,-0.26
1916-04,-0.24
1916-05,-0.26
1916-06,-0.36
1916-07,-0.31
1916-08,-0.27
1916-09,-0.28
1916-10,-0.3
1916-11,-0.4
1916-12,-0.7
1917-01,-0.6
1917-02,-0.64
1917-03,-0.64
1917-04,-0.51
1917-05,-0.53
1917-06,-0.41
1917-07,-0.26
1917-08,-0.22
1917-09,-0.21
1917-10,-0.38
1917-11,-0.33
1917-12,-0.48
1918-01,-0.44
1918-02,-0.39
1918-03,-0.28
1918-04,-0.41
1918-05,-0.4
1918-06,-0.34
1918-07,-0.28
1918-08,-0.29
1918-09,-0.16
1918-10,-0.1
1918-11,-0.08
1918-12,-0.26
1919-01,-0.15
1919-02,-0.19
1919-03,-0.19
1919-04,-0.08
1919-05,-0.22
1919-06,-0.3
1919-07,-0.27
1919-08,-0.32
1919-09,-0.24
1919-10,-0.2
1919-11,-0.35
1919-12,-0.38
1920-01,-0.26
1920-02,-0.29
1920-03,-0.11
1920-04,-0.23
1920-05,-0.25
1920-06,-0.28
1920-07,-0.27
1920-08,-0.23
1920-09,-0.18
1920-10,-0.25
1920-11,-0.24
1920-12,-0.43
1921-01,-0.09
1921-02,-0.19
1921-03,-0.23
1921-04,-0.26
1921-05,-0.21
1921-06,-0.23
1921-07,-0.13
1921-08,-0.19
1921-09,-0.18
1921-10,-0.08
1921-11,-0.15
1921-12,-0.15
1922-01,-0.29
1922-02,-0.39
1922-03,-0.11
1922-04,-0.2
1922-05,-0.27
1922-06,-0.24
1922-07,-0.26
1922-08,-0.27
1922-09,-0.3
1922-10,-0.29
1922-11,-0.16
1922-12,-0.2
1923-01,-0.25
1923-02,-0.39
1923-03,-0.33
1923-04,-0.35
1923-05,-0.27
1923-06,-0.21
1923-07,-0.29
1923-08,-0.32
1923-09,-0.26
1923-10,-0.19
1923-11,-0.05
1923-12,0
1924-01,-0.18
1924-02,-0.18
1924-03,-0.07
1924-04,-0.22
1924-05,-0.1
1924-06,-0.22
1924-07,-0.21
1924-08,-0.3
1924-09,-0.29
1924-10,-0.32
1924-11,-0.21
1924-12,-0.37
1925-01,-0.36
1925-02,-0.4
1925-03,-0.26
1925-04,-0.24
1925-05,-0.24
1925-06,-0.28
1925-07,-0.24
1925-08,-0.16
1925-09,-0.13
1925-10,-0.17
1925-11,0.02
1925-12,0.08
1926-01,0.12
1926-02,0
1926-03,0.09
1926-04,-0.11
1926-05,-0.16
1926-06,-0.16
1926-07,-0.22
1926-08,-0.12
1926-09,-0.14
1926-10,-0.08
1926-11,-0.06
1926-12,-0.21
1927-01,-0.28
1927-02,-0.19
